,Unnamed: 0,video_id,video_title,upload_date,view_count,like_count,comment_count,mean_weighted_sentiment_score,median_weighted_sentiment_score,std_weighted_sentiment_score,sentiment_label,days_since_upload,views_per_day,comment_count_per_day
106,106,xED6b2rRHM8,A multimillionaire CEO’s secret manufacturing tip,2022-02-18,1092992,51289,338,0.1008087394729493,0.1338411688804626,0.6947571956536096,Positive,259.0,4220.05,1.31
107,107,w9_og6FFEOY,How much my T-shirt store made from $100 in Fb ads,2022-02-17,396180,17998,85,-0.0716441478671097,0.0997227609157562,0.5240318676123429,Neutral,260.0,1523.77,0.33
108,108,G-pn6BF-8DY,My biggest struggle as an entrepreneur,2022-02-15,199155,10898,41,0.4128089986349407,0.4155167520046234,0.542259301993227,Positive,262.0,760.13,0.16
109,109,DitHFGQgqnY,Ranking side hustles I’ve tried from worst to best,2022-02-14,3036555,182392,698,-0.0263664128671165,0.1288487434387207,0.6295904891351705,Neutral,263.0,11545.84,2.65
110,110,_k56dhmsU_0,I paid Fiverr $30 and $120 to design NFT’s (comparison),2022-02-11,2493035,153407,1394,-0.119620756882018,0.1070299983024596,0.6297424268862984,Negative,266.0,9372.31,5.24
111,111,SPJ6Dfwja5w,My funniest flip I’ve ever done (made good $ tho),2022-02-10,176373,8643,55,-0.0714676580258778,0.109585416316986,0.6813105712956448,Neutral,267.0,660.57,0.21
112,112,o1R6m4vIJRY,I tried the golf club flipping side hustle (it works),2022-02-08,201786,8918,64,-0.0474054954268715,0.1229077696800232,0.569332986040942,Neutral,269.0,750.13,0.24
113,113,vzAqjWPBdSc,How I made my NFT chain (step by step),2022-02-07,223064,7828,152,-0.1273529632602419,0.1061386764049529,0.6165947905705466,Negative,270.0,826.16,0.56
114,114,PEvkwuJl-qg,“Drama” YouTubers are making a lot of money rn…,2022-02-05,154648,7236,61,-0.1487494918207327,0.0927467972040176,0.6541669374714961,Negative,272.0,568.56,0.22
115,115,JM2vkZBf0G4,How to grow $1k into $1mil online (what I did),2022-02-04,268687,14051,136,0.0038024889352993,0.1374180495738983,0.6200191597512349,Neutral,273.0,984.2,0.5
116,116,kFHPPvjvxxM,I made a chain so I can wear my NFT’s…,2022-02-02,98791,4843,103,0.0613665333160987,0.1307203412055969,0.6284848939751396,Neutral,275.0,359.24,0.37
